platform,video_title,video_url,author,content,comment_id,likes,time_parsed,video_transcript,scraped_at
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@nitinjoshi912,I love you 💘💘💘💘 darling ❤,UgyEJ8k4dzCpqn-83qJ4AaABAg,0,1776765091.012391,Transcript not available,2026-08-21T15:21:31.012492
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@maverick_ArS,Fun fact: VIEWERS ARE ONLY BOYS! 😌,UgzKjyFWu7NDljV_RUp4AaABAg,3,1774086691.013998,Transcript not available,2026-08-21T15:21:31.014112
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@paprimog3316,Faltu,Ugxzpi_Ihhavyyz6QMl4AaABAg,0,1768989091.015787,Transcript not available,2026-08-21T15:21:31.015903
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@ArthalBhatti,Chhammak chhallo bhi kuja thinking😢,Ugxn3YcPquCAeHwSukd4AaABAg,0,1761040291.017513,Transcript not available,2026-08-21T15:21:31.017616
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@PartikBhatt-z6w,I love you 😚😚😚,UgxBDeOBnoWVfdDuoU94AaABAg,0,1761040291.019131,Transcript not available,2026-08-21T15:21:31.019240
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@CarlosTibiriçáMoreiradasilva,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Ugw51b8nWcOQcgpEt_t4AaABAg,0,1758448291.020918,Transcript not available,2026-08-21T15:21:31.021025
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@patiencechihomvu2793,By underwear 🩲,Ugxo5HMeGXvvNEEwE654AaABAg,1,1755769891.022175,Transcript not available,2026-08-21T15:21:31.022279
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@Spriti22,❤❤❤😊,UgwsBHllulnGlFLwwTR4AaABAg,0,1724233891.023381,Transcript not available,2026-08-21T15:21:31.023470
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@kratiijain,✨❤️❤️,Ugw98LWWRo0WSOM4lv14AaABAg,0,1724233891.024561,Transcript not available,2026-08-21T15:21:31.024649
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@laveenajain5918,❤❤❤❤,Ugz5U9Y9aO3Oq9s4fSV4AaABAg,0,1724233891.025732,Transcript not available,2026-08-21T15:21:31.025819
YouTube,How To Style A Simple Salwar Suit | Stylish Festive Suit Look & Accessories | Shop Now #Shorts,https://www.youtube.com/watch?v=DgHVHoEtLrU,@laveenajain5918,❤️❤❤️❤️,UgxijhRyQWPjIzeEuYN4AaABAg,0,1724233903.355483,Transcript not available,2026-08-21T15:21:43.355609
YouTube,How To Style A Simple Salwar Suit | Stylish Festive Suit Look & Accessories | Shop Now #Shorts,https://www.youtube.com/watch?v=DgHVHoEtLrU,@Dishaaajain,😍❤️❤️,UgwrrwRa-vR9XgoWcpB4AaABAg,0,1724233903.356827,Transcript not available,2026-08-21T15:21:43.356929
YouTube,How To Style A Simple Salwar Suit | Stylish Festive Suit Look & Accessories | Shop Now #Shorts,https://www.youtube.com/watch?v=DgHVHoEtLrU,@navyamishra6674,😍😍,Ugyg1IcpY0_FM2txN4x4AaABAg,0,1724233903.358058,Transcript not available,2026-08-21T15:21:43.358153
YouTube,What To Wear When You Have Nothing To Wear | Closet Staples Edition | Casual Look | Shop Now #Shorts,https://www.youtube.com/watch?v=7Sdi7WjH_AE,@nykaafashionofficial,"Shop the look featured by searching the product codes below:
👖Jeans: 9409533
🤍White Inner: 6181391
👔White Shirt: 9752864
👟Shoes: 7570680
👜 Bag: 8961786",UgzLrf2xEjOv0ZPnYJl4AaABAg,0,1724233919.849863,Transcript not available,2026-08-21T15:21:59.849985
YouTube,Get Brunch Ready With Nykaa Fashion | Stylish Shirt and Pants Co-Ord Set Look | Shop Now #Shorts,https://www.youtube.com/watch?v=-cisEfqvbSQ,@nykaafashionofficial,"Shop the look featured by searching the product codes below:
Tara and I - Search for 🔎 10530989",UgwlVZaeXGcse2VDjIl4AaABAg,0,1724233922.833262,Transcript not available,2026-08-21T15:22:02.833405
YouTube,GRWNF For A Lazy Day At Home | Comfortable Pyjama & Tee Look For Everyday Wear | Shop Now #Shorts,https://www.youtube.com/watch?v=4RgswyAnUwE,@nykaafashionofficial,"💕 Shop the look featured by searching the product codes below:
Tee: 10704022
Joggers: 10704035
Blue Sliders: 5879301
Socks: 1921787",UgwfHDa8RGn75j3CwEF4AaABAg,0,1724233927.371621,Transcript not available,2026-08-21T15:22:07.371927
YouTube,"4 Accessory Styles To Shop From This Festive Season | Jewellery, Footwear & more | Shop Now #shorts",https://www.youtube.com/watch?v=7Arf_wCbJaM,@nykaafashionofficial,"Checkout these products from our unique, homegrown heroes-
✨Curio Cottage
✨Amyra
✨Zariin
✨Attrangi
✨Coral Haze",Ugx2TEN-SE2WHWOKWBl4AaABAg,0,1724233930.944713,Transcript not available,2026-08-21T15:22:10.944840
YouTube,"5 Must Have Picks From The Nykaa Fashion Store | Outfits, Accessories and more | Shop Now #Shorts",https://www.youtube.com/watch?v=M3rpz-UYHBw,@nykaafashionofficial,"Want Stylist Recommendations? Our Stylist Akshata takes you to our retail store to show you her top picks ✨🛍️

Check out her favourites yourself on the Nykaa Fashion app and search for brands like Likha, Gajra Gang, Twenty Dresses, CAI and Azai 😍",UgwltQyfT-ooV7u1AxN4AaABAg,0,1724233934.762799,Transcript not available,2026-08-21T15:22:14.763110
YouTube,5 Viral Fashion Hacks You Need To Try | Fashion Tips Tricks & DIYs | Shop Now #shorts,https://www.youtube.com/watch?v=minf4ZVxg5w,@nykaafashionofficial,"Search the product codes below to stash your favourite outfits showcased in the video:

Look 1
Blazer: 5648949
Top: 9007229
Jeans: 8795305
Footwear:8930192

Look 2
Blazer: 7818546
Cargos: 10250830
Bag: 10140565
Footwear: 8930192

Look 3
Top: 8273835
Skirt: 10250638
Bag: 10140591
Footwear: 2444105",Ugyo4Fe8Og2xNVTwsH94AaABAg,0,1724233940.48,Transcript not available,2026-08-21T15:22:20.480123
YouTube,5 Viral Fashion Hacks You Need To Try | Fashion Tips Tricks & DIYs | Shop Now #shorts,https://www.youtube.com/watch?v=minf4ZVxg5w,@yashshrimali96,Thank you for selling fake products and robbing my money.,Ugyd_AAWUUPgOCUGeK94AaABAg,0,1724233940.481238,Transcript not available,2026-08-21T15:22:20.481328
YouTube,"1 Basic Dress, 3 Ways To Style It | Party, Lunch & Work Looks | Shop Now #Shorts",https://www.youtube.com/watch?v=j85_yZUEa4k,@nykaafashionofficial,"Shop the look featured by searching the product codes below:
Dress: 10969991
Skirt: 10758069
Blazer: 7818534",UgwrTGS6OBrC8IpQORt4AaABAg,0,1724233948.749638,Transcript not available,2026-08-21T15:22:28.750041
